Age_Group,Total_Pop,Total_Males,Total_Females,Main_Working_Pop,Main_Working_Males,Main_Working_Females,Marginal_3m_Working_Pop,Marginal_3m_Working_Males,Marginal_3m_Working_Females,Marginal_6m_Working_Pop,Marginal_6m_Working_Males,Marginal_6m_Working_Females,Non_Working_Pop,Non_Working_Males,Non_Working_Females
Total,3085411,1684608,1400803,1209334,975508,233826,11398,7378,4020,63664,38123,25541,1801015,663599,1137416
00-04,189193,98595,90598,0,0,0,0,0,0,0,0,0,189193,98595,90598
05-09,208264,108793,99471,2635,1558,1077,77,45,32,2008,1026,982,203544,106164,97380
10-14,230713,122365,108348,6635,4813,1822,198,122,76,2717,1441,1276,221163,115989,105174
15-19,265548,150557,114991,45124,37878,7246,1025,738,287,5672,3623,2049,213727,108318,105409
20-24,334119,198073,136046,151970,123336,28634,2406,1653,753,10412,6761,3651,169331,66323,103008
25-29,325168,186723,138445,195941,156636,39305,1848,1228,620,9309,5875,3434,118070,22984,95086
30-34,272932,153652,119280,170064,137533,32531,1265,806,459,7119,4398,2721,94484,10915,83569
35-39,250947,138227,112720,156427,126073,30354,1077,643,434,6043,3497,2546,87400,8014,79386
40-49,409707,221104,188603,250072,200750,49322,1671,975,696,9230,5239,3991,148734,14140,134594
50-59,284542,153587,130955,154532,125403,29129,980,629,351,5666,3220,2446,123364,24335,99029
60-69,174053,86922,87131,49048,39940,9108,533,339,194,3069,1729,1340,121403,44914,76489
70-79,85549,39715,45834,14062,11238,2824,191,118,73,1307,682,625,69989,27677,42312
80+,39099,17246,21853,6191,4920,1271,76,49,27,615,325,290,32217,11952,20265
Age not stated,15577,9049,6528,6633,5430,1203,51,33,18,497,307,190,8396,3279,5117
